Job Title;Employment Type;Experience Level;Expertise Level;Company Location;Salary in USD;Employee Residence;Company Size;Year
Data Analytics Manager;Full-Time;Senior;Expert;United States;130900;United States;Large;2023
Data Scientist;Full-Time;Senior;Expert;United States;198000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;124000;United States;Medium;2023
BI Analyst;Full-Time;Senior;Expert;United States;234485;United States;Medium;2023
BI Analyst;Full-Time;Senior;Expert;United States;112655;United States;Medium;2023
Data Analyst;Full-Time;Entry;Junior;United States;125000;United States;Medium;2023
Data Analyst;Full-Time;Entry;Junior;United States;105000;United States;Medium;2023
Data Scientist;Full-Time;Mid;Intermediate;United Kingdom;51676;United Kingdom;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;France;70179;France;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;France;64781;France;Medium;2023
Data Scientist;Full-Time;Senior;Expert;Canada;258000;Canada;Medium;2023
Data Scientist;Full-Time;Senior;Expert;Canada;190000;Canada;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;184184;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;167441;United States;Medium;2023
AI Programmer;Full-Time;Entry;Junior;Canada;74087;Canada;Large;2023
Data Scientist;Full-Time;Entry;Junior;Netherlands;32390;Netherlands;Large;2023
Data Engineer;Full-Time;Executive;Director;United States;204500;United States;Medium;2023
Analytics Engineer;Full-Time;Entry;Junior;United States;90000;United States;Medium;2023
Analytics Engineer;Full-Time;Entry;Junior;United States;84000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;202400;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;147200;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;90000;United States;Medium;2023
Business Intelligence Engineer;Full-Time;Senior;Expert;United States;192000;United States;Medium;2023
Business Intelligence Engineer;Full-Time;Senior;Expert;United States;142000;United States;Medium;2023
Data Operations Manager;Full-Time;Senior;Expert;United States;143000;United States;Medium;2023
Data Operations Manager;Full-Time;Senior;Expert;United States;129000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;191000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;146000;United States;Medium;2023
Data Specialist;Full-Time;Senior;Expert;United States;85000;United States;Medium;2023
Data Specialist;Full-Time;Senior;Expert;United States;70000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United Kingdom;147648;United Kingdom;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United Kingdom;98432;United Kingdom;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;212800;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;144800;United States;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United States;250000;United States;Medium;2023
Data Scientist;Full-Time;Entry;Junior;Ecuador;16000;Ecuador;Large;2023
Data Engineer;Full-Time;Mid;Intermediate;Portugal;27000;Peru;Small;2023
Data Manager;Full-Time;Executive;Director;Mexico;72000;Mexico;Small;2023
Data Engineer;Full-Time;Senior;Expert;United States;172900;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;144100;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;230000;United States;Medium;2023
BI Analyst;Full-Time;Senior;Expert;United States;160000;United States;Medium;2023
BI Analyst;Full-Time;Senior;Expert;United States;135000;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;101500;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;83700;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;253430;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;283000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;184000;United States;Medium;2023
Data Scientist;Full-Time;Executive;Director;United States;220000;United States;Medium;2023
Data Scientist;Full-Time;Executive;Director;United States;185000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;260000;United States;Medium;2023
